,tx,ty,tz,PL,angle
0,0.0014900000000000002,0.0019220000000000005,0.0027340000000000008,46,5
0,0.00035899999999999994,-0.0008290000000000002,-0.0017959999999999999,47,5
0,-0.0003669999999999997,-0.0005350000000000001,-0.0007909999999999999,48,5
0,-0.0021340000000000005,-0.0008990000000000001,-0.00038799999999999973,49,5
0,-0.0012439999999999997,-0.000784,-0.0007229999999999999,50,5
0,0.001866,0.001143,0.001022,51,5
0,0.001781,0.001653,0.002047,52,5
0,-0.00019999999999999987,-3.999999999999989e-05,5.8000000000000136e-05,53,5
0,0.002444,0.0014060000000000003,0.0011679999999999998,54,5
0,0.001646,0.0004199999999999999,-0.00021900000000000017,55,5
0,9.799999999999989e-05,0.00040300000000000004,0.0007040000000000002,56,5
0,-0.00042100000000000004,-0.0005230000000000001,-0.0007340000000000001,57,5
0,8.00000000000001e-05,0.0002849999999999999,0.0004890000000000001,58,5
0,0.001758,4.099999999999998e-05,-0.001005,59,5
0,-0.0009410000000000005,0.00039699999999999995,0.0013390000000000003,60,5
0,0.001372,1.2000000000000041e-05,-0.0008219999999999999,61,5
0,0.0009549999999999999,0.0008280000000000002,0.0009819999999999998,62,5
0,-6.499999999999963e-05,0.0006850000000000002,0.0013399999999999996,63,5
0,0.0012799999999999999,0.00045800000000000013,8.200000000000015e-05,64,5
0,-0.001014,5.900000000000003e-05,0.0007360000000000003,65,5
0,0.0008899999999999998,0.000335,8.299999999999974e-05,66,5
0,-0.00040899999999999997,5.0000000000000036e-05,0.00035099999999999964,67,5
0,0.0005169999999999999,0.0007529999999999999,0.001114,68,5
0,-8.500000000000011e-05,0.00029000000000000006,0.0006070000000000001,69,5
0,-0.00017499999999999992,0.00011400000000000005,0.0003269999999999999,70,5
0,-0.0027859999999999994,-0.000442,0.0,1,6
0,0.002039,-0.0038710000000000003,0.0,2,6
0,0.003814,-0.0054789999999999995,0.0,3,6
0,-0.004427000000000001,0.008626,0.0,4,6
0,0.0017060000000000007,0.005238,0.0,5,6
0,-0.0022199999999999998,0.0052569999999999995,0.0,6,6
0,0.0035119999999999995,-0.0008669999999999997,0.0,7,6
0,-0.0006010000000000002,0.0005470000000000004,0.0,8,6
0,-0.008660000000000001,0.010701,0.0,9,6
0,0.006041,0.0007209999999999999,0.0,10,6
0,-0.0002999999999999999,0.0017519999999999986,0.0,11,6
0,-0.006714,0.005682999999999999,0.0,12,6
0,0.0028539999999999998,0.006104999999999999,0.0,13,6
0,0.0012990000000000002,0.0018930000000000015,0.0,14,6
0,-0.001609,0.0005530000000000008,0.0,15,6
0,-0.005526999999999999,-0.0011450000000000002,0.0,16,6
0,-0.000735,0.004410000000000001,0.0,17,6
0,-0.002225,0.0020779999999999996,0.0,18,6
0,-0.005628,0.0031880000000000007,0.0,19,6
0,-0.0004960000000000001,0.0019700000000000004,0.0,20,6
0,-0.0009310000000000002,0.0010080000000000004,0.0,21,6
0,-0.0021779999999999994,0.004352999999999999,0.0,22,6
0,-0.0002959999999999998,0.0031299999999999987,0.0,23,6
0,0.0016870000000000001,-0.0033120000000000007,0.0,24,6
0,-0.0030279999999999986,0.006335,0.0,25,6
0,-0.005318,0.006475,0.0,26,6
0,0.001864,0.0018300000000000011,0.0,27,6
0,0.0008310000000000004,0.0013139999999999998,0.0,28,6
0,-0.002793,0.0023140000000000005,0.0,29,6
0,-0.003385,-0.0019279999999999996,0.0,30,6
0,-0.000335,0.0016350000000000006,0.0,31,6
0,-0.0015570000000000002,0.003551,0.0,32,6
0,-7.299999999999962e-05,0.0007359999999999996,0.0,33,6
0,-0.0022029999999999997,0.0009309999999999995,0.0,34,6
0,0.0008219999999999994,0.00032700000000000133,0.0,35,6
0,0.0006460000000000001,-0.002425,0.0,36,6
0,-0.001001,0.0004229999999999991,0.0,37,6
0,-0.0036279999999999997,0.0050290000000000005,0.0,38,6
0,-0.0006129999999999996,0.003475,0.0,39,6
0,0.00039199999999999955,0.00448,0.0,40,6
0,-0.0003629999999999998,-0.0019330000000000003,0.0,41,6
0,-0.0003650000000000001,0.003307,0.0,42,6
0,0.00204,0.0014799999999999995,0.0,43,6
0,-0.0021140000000000004,0.0009139999999999999,0.0,44,6
0,-0.0012389999999999997,0.0015870000000000003,0.0,45,6
0,-3.700000000000014e-05,-0.0013900000000000004,0.0,46,6
0,-0.0017819999999999995,0.004465,0.0,47,6
0,-0.0010989999999999993,0.0020380000000000003,0.0,48,6
0,0.0005929999999999999,0.002126999999999999,0.0,49,6
0,2.7999999999999813e-05,-0.0016749999999999998,0.0,50,6
0,-0.0016249999999999995,0.0031030000000000003,0.0,51,6
0,-0.0007660000000000004,-0.00043800000000000035,0.0,52,6
0,0.0021999999999999997,4.400000000000015e-05,0.0,53,6
0,-0.001717,0.000536,0.0,54,6
0,-0.000518,-0.0022570000000000003,0.0,55,6
